x,E_0,F_0,E+F,E-F
1.743,1.37199e-07,0,0.0137217,-0.000584819
1.749,1.37199e-07,0,0.0137217,-0.000584819
1.755,1.37199e-07,0,0.0137217,-0.000584819
1.761,1.37199e-07,0,0.0137217,-0.000584819
1.767,1.37199e-07,0,0.0137217,-0.000584819
1.773,1.37199e-07,0,0.0137217,-0.000584819
1.779,1.37199e-07,0,0.0137217,-0.000584819
1.785,1.37199e-07,0,0.0137217,-0.000584819
1.791,1.37199e-07,0,0.0137217,-0.000584819
1.797,1.37199e-07,0,0.0137217,-0.000584819
1.803,1.37199e-07,0,0.0137217,-0.000584819
1.809,1.37199e-07,0,0.0137217,-0.000584819
1.815,1.37199e-07,0,0.0137217,-0.000584819
1.821,1.37199e-07,0,0.0137217,-0.000584819
1.827,1.37199e-07,0,0.0137217,-0.000584819
1.833,1.37199e-07,0,0.0137217,-0.000584819
1.839,1.37199e-07,0,0.0137217,-0.000584819
1.845,1.37199e-07,0,0.0137217,-0.000584819
1.851,1.37199e-07,0,0.0137217,-0.000584819
1.857,1.37199e-07,0,0.0137217,-0.000584819
1.863,1.37199e-07,0,0.0137217,-0.000584819
1.869,1.37199e-07,0,0.0137217,-0.000584819
1.875,1.37199e-07,0,0.0137217,-0.000584819
1.881,1.37199e-07,0,0.0137217,-0.000584819
1.887,1.37199e-07,0,0.0137217,-0.000584819
1.893,1.37199e-07,0,0.0137217,-0.000584819
1.899,1.37199e-07,0,0.0137217,-0.000584819
1.905,1.37199e-07,0,0.0137217,-0.000584819
1.911,1.37199e-07,0,0.0137217,-0.000584819
1.917,1.37199e-07,0,0.0137217,-0.000584819
1.923,1.37199e-07,0,0.0137217,-0.000584819
1.929,1.37199e-07,0,0.0137217,-0.000584819
1.935,1.37199e-07,0,0.0137217,-0.000584819
1.941,1.37199e-07,0,0.0137217,-0.000584819
1.947,1.37199e-07,0,0.0137217,-0.000584819
1.953,1.37199e-07,0,0.0137217,-0.000584819
1.959,1.37199e-07,0,0.0137217,-0.000584819
1.965,1.37199e-07,0,0.0137217,-0.000584819
1.971,1.37199e-07,0,0.0137217,-0.000584819
1.977,1.37199e-07,0,0.0137217,-0.000584819
1.983,1.37199e-07,0,0.0137217,-0.000584819
1.989,1.37199e-07,0,0.0137217,-0.000584819
1.995,1.37199e-07,0,0.0137217,-0.000584819
2.001,1.37199e-07,0,0.0137217,-0.000584819
2.007,1.37199e-07,0,0.0137217,-0.000584819
2.013,1.37199e-07,0,0.0137217,-0.000584819
2.019,1.37199e-07,0,0.0137217,-0.000584819
2.025,1.37199e-07,0,0.0137217,-0.000584819
2.031,1.37199e-07,0,0.0137217,-0.000584819
2.037,1.37199e-07,0,0.0137217,-0.000584819
2.043,1.37199e-07,0,0.0137217,-0.000584819
2.049,1.37199e-07,0,0.0137217,-0.000584819
2.055,1.37199e-07,0,0.0137217,-0.000584819
2.061,1.37199e-07,0,0.0137217,-0.000584819
2.067,1.37199e-07,0,0.0137217,-0.000584819
2.073,1.37199e-07,0,0.0137217,-0.000584819
2.079,1.37199e-07,0,0.0137217,-0.000584819
2.085,1.37199e-07,0,0.0137217,-0.000584819
2.091,1.37199e-07,0,0.0137217,-0.000584819
2.097,1.37199e-07,0,0.0137217,-0.000584819
2.103,1.37199e-07,0,0.0137217,-0.000584819
2.109,1.37199e-07,0,0.0137217,-0.000584819
2.115,1.37199e-07,0,0.0137217,-0.000584819
2.121,1.37199e-07,0,0.0137217,-0.000584819
2.127,1.37199e-07,0,0.0137217,-0.000584819
2.133,1.37199e-07,0,0.0137217,-0.000584819
2.139,1.37199e-07,0,0.0137217,-0.000584819
2.145,1.37199e-07,0,0.0137217,-0.000584819
2.151,1.37199e-07,0,0.0137217,-0.000584819
2.157,1.37199e-07,0,0.0137217,-0.000584819
2.163,1.37199e-07,0,0.0137217,-0.000584819
2.169,1.37199e-07,0,0.0137217,-0.000584819
2.175,1.37199e-07,0,0.0137217,-0.000584819
2.181,1.37199e-07,0,0.0137217,-0.000584819
2.187,1.37199e-07,0,0.0137217,-0.000584819
2.193,1.37199e-07,0,0.0137217,-0.000584819
2.199,1.37199e-07,0,0.0137217,-0.000584819
2.205,1.37199e-07,0,0.0137217,-0.000584819
2.211,1.37199e-07,0,0.0137217,-0.000584819
2.217,1.37199e-07,0,0.0137217,-0.000584819
2.223,1.37199e-07,0,0.0137217,-0.000584819
2.229,1.37199e-07,0,0.0137217,-0.000584819
2.235,1.37199e-07,0,0.0137217,-0.000584819
2.241,1.37199e-07,0,0.0137217,-0.000584819
2.247,1.37199e-07,0,0.0137217,-0.000584819
2.253,1.37199e-07,0,0.0137217,-0.000584819
2.259,1.37199e-07,0,0.0137217,-0.000584819
2.265,1.37199e-07,0,0.0137217,-0.000584819
2.271,1.37199e-07,0,0.0137217,-0.000584819
